Day,단어,뜻,외움,,
day5,face,"(문제 등에)직면하다; 향하다, 마주보다",,,
day5,follow,~을 따라가다; 주시하다; (분명히)이해하다,,,
day5,aspect,"관점, 국면",,,
day5,apparently,"보기에 ~한 듯한, 외관상으로는",,,
day5,aware,"알고 있는, 인식하고 있는",,,
day5,extended,"(기간 등을)연장한, 장기간에 걸친",,,
day5,accidentally,"뜻하지 않게, 우연히",,,
day5,advisable,"바람직한, 합당한",,,
day5,concerned,"염려하는, 걱정하는; 관련된",,,
day5,speak,이야기 하다,,,
day6,collection,"소장품, 수집물; 징수, 수금",,,
day6,exhibition,전시회,,,
day6,celebrity,"유명인사, 명사",,,
day6,live,"(라디오, TV가)생방송인",,,
day6,improvise,"(연주, 연설 등을)즉흥적으로 하다, 즉석에서 만들다.",,,
day6,popular,인기있는,,,
day6,donation,"기증, 기부",,,
day6,alumni,"동창생들, 졸업생들",,,
day6,present,"제시하다, 현재의, 참석한",,,
day6,admission,입장,,,
day6,banquet,"연회, 만찬",,,
day6,anniversary,기념일,,,
day6,required,"필수의, 의무적인",,,
day6,succeed,"성공하다, 뒤를 잇다",,,
day6,rest,"쉬다,휴식, 나머지",,,
day6,fund-raising,모금,,,
day6,resume,"재개하다, 다시 시작하다",,,
day6,issue,"(출판물의)제 ~호; 문제, 쟁점",,,
day6,subscription,(정기발행물의) 구독,,,
day6,appear,"나타나다, 출현하다",,,
day6,accompany,"동행하다, 동반하다",,,
day6,edition,(간행물의)판,,,
day6,specifically,"명확하게, 분명히; 특히, 특별히",,,
day6,anonymous,"익명의, 이름을 모르는",,,
day6,commit,"헌신하다, 전념하다",,,
day6,information,"유익한, 정보를 주는",,,
day6,audience,"청중, 관중",,,
day6,author,"작가, 저자",,,
day6,note,주목하다; 특별히 언급하다.,,,
day6,antique,골동품,,,
day6,manuscript,원고,,,
day6,beneficial,"유익한, 이로운",,,
day6,upcoming,"곧 있을, 다가오는",,,
day6,lend,빌려주다,,,
day6,current,"현재의,; 현행의, 통용되는",,,
day6,local,"지방의, 고장의",,,
day6,variety,"다양성, 변화",,,
day6,advocate,옹호자,,,
day6,contributor,"기고가, 공헌자",,,
day6,defy,"저항하다; (설명,묘사등이)거의 불가능하다",,,
day6,fascinating,"매혹적인, 황홀한",,,
day6,showing,"(영화, 연극의)상영; 전시",,,
day7,survey,설문조사,,,
day7,analysis,분석,,,
day7,respondent,응답자,,,
day7,competition,경쟁,,,
day7,consistently,"항상, 일관되게",,,
day7,demand,"수요, 요구하다",,,
day7,do one's utmost,전력을 다하다,,,
day7,expand,"확장하다, 확대하다",,,
day7,advanced,"고급의; 진보한, 앞선",,,
day7,postpone,"연기하다, 뒤로 미루다",,,
day7,additional,"추가의, 부가적인",,,
day7,appreciate,고맙게 생각하다; 높이 평가하다; 감상하다,,,
day7,demonstration,"설명; 드러냄, 시연",,,
day7,buy,"사다, 구입하다",,,
day7,examine,조사하다,,,
day7,effective,"효과적인; (법률 등이)발표되는, 시행되는",,,
day7,like,좋아하다,,,
day7,especially,특히,,,
day7,closely,"면밀히, 엄밀히",,,
day7,reserve,"예약하다, 지정하다; 보존하다",,,
day7,cooperate,"협력하다, 협동하다",,,
day7,very,"매우, 대단히, 아주",,,
day7,consecutive,연속적인,,,
day7,expectation,"예상, 기대",,,
day7,publicize,"공표하다; 광고하다, 선전하다",,,
day7,raise,"높이다, 올리다; (의문을)제기하다",,,
day7,extremely,"극도로, 대단히",,,
day7,affect,"~에 영향을 미치다, 불리하게 작용하다",,,
day7,target,"목표, 목표로 삼다",,,
day7,campaign,"운동, 캠페인",,,
day7,probable,"개연성이 높은, 유망한",,,
day7,focus,"집중시키다, 집중하다",,,
day7,seasonal,"계절의, 계절적인",,,
day7,impact,"영향, 충격",,,
day7,comparison,비교,,,
day7,gap,격차,,,
day7,mounting,"증가하는, 오르는",,,
day7,reflective,반영하는,,,
day8,advertisement,광고,,,
day8,marginal,약간의; 주변의,,,
day8,customer,고객,,,
day8,influence,"~에 영향을 주다, 영향",,,
day8,instantly,"즉각적으로, 즉시",,,
day8,creative,"창조적인, 독창적인",,,
day8,aggressively,적극적으로,,,
day8,aim,"~을 겨누다, 목표, 목적",,,
day8,strategy,전략,,,
day8,indicate,"보여주다, 나타내다",,,
day8,attract,"끌다, 유인하다",,,
day8,experience,"경험, 체험, 체험하다, 경험하다",,,
day8,analyze,"분석하다, 분석적으로 검토하다",,,
day8,introduce,"(신제품을)발표하다, 소개하다",,,
day8,advise,"조언해주다, 충고하다",,,
day8,subscribe,구독하다,,,
day8,absence,"부재; 결근, 결석",,,
day8,means,"방법, 수단",,,
day8,prefer,"(다른 것보다)~을 더 좋아하다, 선호하다",,,
day8,advantage,"이점, 강점",,,
day8,forward,"앞으로, (물건, 정보를)보내다",,,
day8,contemporary,"동시대의; 현대의, 당대의",,,
day8,discussion,"토론, 토의",,,
day8,initial,"처음의, 최초의",,,
day8,steadily,착실하게; 꾸준히,,,
day8,necessarily,반드시,,,
day8,resolve,(문제 등을)해결하다,,,
day8,detect,"간파하다, 탐지하다",,,
day8,intensify,"강화하다, 증대하다, 강렬하게 만들다.",,,
day8,favorably,호의적으로; 순조롭게,,,
day8,cover,포함하다; 지불하다; 덮다,,,
day8,less,"보다 적은, 덜한",,,
day8,majority,"대부분, 대다수",,,
day8,adopt,채택하다,,,
day8,largely,"주로, 대부분",,,
day8,disregard,"소홀히 하다, 무시하다",,,
day8,effort,노력,,,
day8,incentive,"혜택, 장려금",,,
day8,need,"필요, 요구, 욕구, ~할 필요가 있다.",,,
day8,mastermind,"(계획 등의)입안자, 지도자",,,
day9,stagnant,"침체된, 불경기의, (stagnance침체, 정체, 불황)",,,
day9,dramatically,극적으로,,,
day9,brisk,"활발한, 호황의",,,
day9,unstable,"불안정한, 변하기 쉬운",,,
day9,rapidly,"급속히, 빨리",,,
day9,soar,"(물가 등이)폭등하다, 높이 치솟다",,@,
day9,assert,"단언하다, 주장하다 (assertion 단언, 주장)",,,
day9,boost,"(경기를)부양시키다, 상승시키다",,,
day9,analyst,분석가,,,
day9,potential,잠재적인,,,
day9,pleased,"만족해하는, 기쁜",,,
day9,remain,계속~한 상태이다; 아직 ~해야한다,,,
day9,limited,"제한된, 한정된",,,
day9,costly,"비용이 많이 드는, 손실이 큰",,,
day9,particular,"특정한, 독특한, 세심한 (partocularly 특히)",,,
day9,drastic,"과감한, 급격한",,,
day9,evenly,"고르게, 균등하게",,,
day9,evidence,증거,,,
day9,prospect,"전망, 예상 (prospective 장래의, 미래의, 기대되는)",,,
day9,lead,"이글다, 지휘하다; (어떤 결과에)이르다",,,
day9,fall,"(값, 가치가)하락하다",,,
day9,period,"기간, 시기",,,
day9,indicator,"지표, 지수",,,
day9,industry,산업,,,
day9,likely,~할 것 같은,,,
day9,boom,"붐, 호황",,,
day9,director,"임원, 책임자",,,
day9,substitute,"대용품, 대신하다(substitution 대용, 대체)",,,
day9,consequence,결과,,,
day9,fairly,"상당히, 꽤",,,
day9,economical,"경제적인, 절약되는",,,
day9,thrive,"번영하다, 성공하다",,,
day9,implication,"영향, 밀접한 관계 (implicate 관련시키다, 관련되었음을 나타내다)",,,
day9,wane,"감소, 감퇴",,,
day9,prosperity,번영 (prosper 번영하다),,,
day9,depression,"불황 (depress 하락시키다, 약하게하다)",,,
day9,dwindle,"줄어들다, 감소되다",,,
day9,impede,"저해하다, 방해하다",,임피드,
day9,promising,"유망한, 전망이 좋은",,,
day9,adversity,"역경, 불운",,애드벌써티,
day10,purchase,"구매하다, 구매",,,
day10,installment,할부,,,
day10,affordable,"(가격이)알맞은, 감당할 수 있는",,,
day10,exactly,정확히,,,
day10,auction,경매,,,
day10,authentic,"진정한, 진짜의, 진품의",,,
day10,charge,"요금,청구,금액;책임,의무
~을 청구하다; (외상으로)달아놓다",,,
day10,notice,"통지, 공고",,,
day10,experienced,"경험이 있는, 노련한, 능숙한",,,
day10,instruction,"설명, 지시 (instruct 가르치다, 지시하다, instructor교사, 강사)",,,
day10,expert,"전문가, 전문가의, 전문적인",,,
day10,warranty,"(품질 등의)보증, 보증서",,,
day10,refund,"환불, 환불금",,,
day10,subscriber,"가입자, 구독자",,,
day10,delivery,배달,,,
day10,price,가격,,,
day10,receipt,영수증,,,
day10,offer,"제공하다, 제공,오퍼",,,
day10,carefully,"주의깊게, 신중히",,,
day10,benefit,"혜택, 이익, 혜택을 보다, 이익을 얻다",,,
day10,exclusively,"오로지, 독점적으로",,,
day10,description,"(제품등의)설명, 해설",,,
day10,relatively,상대적으로,,,
day10,spare,"아끼다, 할애하다, 예비의, 여분의",,,
day10,preparation,"준비, 대비",,,
day10,area,"지역, 구역",,,
day10,clearance,"정리, 없애기; 허가",,,
day10,alter,"(성질, 형상을)고치다, 바꾸다",,,
day10,apply,적용하다; 지원하다,,,
day10,mutually,"서로, 상호 간에 (mutuality 상호관계, 상호의존)",,,
day10,method,"방식, 방법",,,
day10,acceptable,"용인되는, 받아들일 수 있는;
훌륭한, 만족스러운",,,
day10,desire,"욕구, 갈망, 원하다, 바라다",,,
day10,redeemable,"(현금,상품과)교환할 수 있는, 환급할 수 있는( redeem 상환하다)",,,
day10,officially,공식적으로,,,
day10,consumption,"소비(량), 소모 (consumptive 소모적인)",,,
day10,qualify,~의 자격을 얻다,,,
day10,fabric,"섬유, 천",,,
day10,valid,유효한,,,
day10,vendor,"노점상, 가판대; 판매업체",,,
day11,research,"연구, 조사",,,
day11,devise,"고안하다, 발명하다",,,
day11,revolutionary,혁명적인,,,
day11,innovative,혁신적인,,,
day11,feature,"특징, 특색, 특징으로 삼다, 특별히 포함하다",,,
day11,inspiration,영감,,,
day11,sufficiently,"충분히(sufficient 충분한, 충분)",,,
day11,patent,"특허, 특허권, 특허품",,,
day11,envision,"(장래의 일 등을)계획하다, 상상하다",,인비젼,
day11,extend,"연장하다; (기간을)늘리다;
(감사의 뜻을)말하다, 베풀다",,,
day11,following,"~후에, 다음의, 다음에 오는",,,
day11,intend,~할 작정이다; 의도하다,,,
day11,grant,"(인정하여 정식으로)수여하다, 주다,
(연구비, 장학금등의)보조금",,,
day11,allow,"~하게 하다, ~을 허락하다",,,
day11,inspect,"~을 검사하다, 조사하다",,,
day11,improve,"향상시키다, 개선하다",,,
day11,increasingly,"점점, 더욱 더",,,
day11,invest,"투자하다, 운용하다",,,
day11,various,"여러 가지의, 가지각색의",,,
day11,upgrade,"업그레이드, 개량형
업그레이드하다, 개선하다",,,
day11,manual,"설명서, 안내서",,,
day11,explore,"조사하다, 탐구하다",,,
day11,response,"응답, 대답",,,
day11,appearance,"외관, 외모",,,
day11,successful,"성공적인, 성공한",,,
day11,hold,"~을 수용하다, ~을 담다;
(회의 등을)개최하다, 열다",,,
day11,advance,"진보, 전진",,,
day11,reliable,"믿을 만한, 신뢰할 수 있는",,,
day11,quality,"품질, 질",,,
day11,domestic,"국내의, 국산의",,,
day11,development,"개발, 발전",,,
day11,availability,"(입수)가능성, 유효성, 유용성",,,
day11,update,"갱신, 개정, 갱신하다,
최신의 것으로 하다",,,
day11,accurate,정확한,,,
day11,complicate,복잡한(complicatedly복잡하게),,컴플러케이트,
day11,accomplished,"숙련된, 노련한",,,
day11,inquiry,"문의, 질문",,,
day11,indication,"징후, 조짐",,,
day11,manufacturer,"제조회사, 제조업자",,,
day11,compatible,"호환되는, 양립할 수 있는(compatibility 양립성, 호환성)",,,
day11,superior,"우수한, 상급의",,서피어리어,
day11,absolute,"완전한, 완전무결한",,,
day11,broaden,넓히다,,,
day11,corrosion,부식,,,
day12,epuipment,"장비, 설비",,,
day12,automate,자동화하다,,,
day12,specification,"명세서, 설명서, 사양",,,
day12,properly,"제대로, 정확하게",,,
day12,safety,안전,,,
day12,precaution,"예방조치, 예방책",,,
day12,operate,"(기계 등이)작동하다, 움직이다",,,
day12,processing,"가공, 처리(process 과정, 진행, 처리하다)",,,
day12,capacity,"용량, 수용력; 역할",,,
day12,assemble,"(부품,기계 등을)조립하다;
(사람을)모으다",,,
day12,utilize,"이용하다, 활용하다",,,
day12,place,"~을-한 상태에 두다;
(지시,주문,신청등을)하다",,,
day12,fill,~을 채우다; (주문대로)이행하다,,,
day12,manufacturing,제조(업)의,,,
day12,renovate,"(낡은 건물, 가구등을)개조하다,
수리하다, 보수하다",,,
day12,decision,"결정, 판단",,,
day12,material,"재료, 물질",,,
day12,success,"성과, 성공",,,
day12,attribute,(원인을)~의 덕분으로 돌리다,,,
day12,efficiency,"효율, 능률",,,
day12,limit,"한계, 제한",,,
day12,tailored,"맞춤의, 주문에 따라 맞춘",,,
day12,component,"부품, (구성)요소",,,
day12,capable,"~을 할 수 있는, ~할 능력이 있는",,,
day12,economize,"절약하다, 아끼다",,,
day12,flexible,"융통성 있는; 유연한, 잘 구부러지는",,,
day12,comparable,"필적하는, 비교되는",,,
day12,produce,생산하다,,,
day12,respectively,"각각, 따로(respective 각각의)",,,
day12,device,장치,,,
day12,trim,"(깍아)다듬다, 없애다; 삭감하다",,,
day12,launch,(신제품을)출시하다,,,
day12,separately,"개별적으로, 따로따로",,,
day12,expiration,"(기간,임기 등의)만료, 만기",,,
day12,maneuver,"이동시키다, 움직이다",,,
day12,coming,다가오는,,,
day12,damaged,"손상된, 손해를 입은",,,
day12,prevent,"~을 막다, ~을 예방하다",,프리벤트,
day12,power,"전력, 전기",,,
day12,chemical,화학제품,,,
day13,complaint,불평,,,
day13,deal,처리하다; 거래하다; 분배하다,,,
day13,argumentative,"논쟁적인, 논쟁을 좋아하는",,,
day13,appropriately,적절하게(appropriate 적합한),,,
day13,respond,응답하다,,,
day13,infuriate,"화나게하다, 격분시키다",,,
day13,curteous,예의바른,,,
day13,satisfaction,만족,,,
day13,inconvenience,"불편, ~에게 불편을 느끼게 하다",,,
day13,complete,"완료하다, 완성하다, 완료된, 완성된",,,
day13,specific,"구체적인, 명확한",,,
day13,return,"반환하다, 반송하다",,,
day13,replace,"~을 교체하다, 대체하다",,,
day13,presentation,발표,,,
day13,evaluation,평가,,,
day13,confident,자신 있는,,,
day13,cause,"~을 야기하다, ~의 원인이 되다
원인",,,
day13,commentary,"해설, 설명(comment 해설하다,논평, 주석을달다)",,카먼테리,
day13,notification,통지,,,
day13,apologize,사과하다,,,
day13,interact,"소통하다, 교류하다; 상호작용을 하다",,,
day13,certain,"확신하는, 확실한; 특정한",,,
day13,commitment,"헌신, 전념",,,
day13,applaud,~에게 박수를 보내다; 칭찬하다,,,
day13,biography,"약력, 전기",,,
day13,critical,비판적인; 중요한; 위기의,,,
day13,depend on,"~에 달려 있다, ~에게 의존하다",,,
day13,combine,결합시키다,,,
day13,priority,"우선권, 우선사항",,,
day13,observe,"관찰하다, 주시하다;
(규칙 등을)준수하다, 지키다",,,
day13,defective,결함이 있는,,.,
day13,reflect,"반영하다, 나타내다",,,
day13,attitude,"태도, 마음가짐",,,
day13,disappoint,실망시키다,,,
day13,inquire,"문의하다, 질문하다",,,
day13,insert,삽입하다,,,
day13,disclose,"공개하다, 드러내다",,,
day13,guarantee,"보장하다, 보장",,,
day13,politely,"공손하게, 예의바르게",,,
day13,seriously,진지하게,,,
day14,international,국제적인,,,
day14,attraction,관광 명소,,,
day14,itinerary,여행 일정,,,
day14,exotic,"이국적인, 매혹적인",,,
day14,diverse,다양한,,디벌스,
day14,superb,"최고의, 뛰어난",,,
day14,baggage,수화물,,,
day14,destination,목적지,,,
day14,missing,"분실된, 없어진",,,
day14,locate,"(~의 위치를)찾아내다;
~을 위치시키다",,,
day14,approximately,대략,,,
day14,duty,"관세,세금; 직무,의무",,,
day14,process,"과정, 처리하다",,,
day14,board,"탑승하다, 이사회",,,
day14,comfortable,편안한,,,
day14,declare,(세관에서)신고하다,,,
day14,specify,"명시하다 (specification 열거, 명시, 명세서)",,,
day14,depart,출발하다,,,
day14,emergency,"비상시, 비상 사태",,,
day14,passenger,승객,,,
day14,outgoing,"(장소를)출발하는, 떠나는;
(지위를)떠나는",,,
day14,tighly,"단단히, 꽉",,,
day14,tour,"(공장,시설 등의)견학, 짧은 여행",,,
day14,carrier,"항공사, 수송기, 수송 회사",,,
day14,customarily,"관례상, 습관적으로",,,
day14,confuse,"혼란시키다 (refuse 거절하다, 거부하다)",,,
day14,arrive,도착하다,,,
day14,brochure,"(홍보용)소책자, 브로셔",,,
day14,involve,"수반하다, 포함하다; 참여시키다",,,
day14,ship,"(배나 다른 운송 수단으로)운송하다, 수송하다, 선박, 배",,,
day14,suitcase,여행가방,,,
day14,unavailable,"이용할 수 없는, 구할 수 없는",,,
day14,fill out/in,"(서류에)기입하다, 적어 넣다",,,
day14,customs,세관,,,
day14,away,떨어져서,,,
day14,dramatic,"멋진, 극적인; 급격한",,,
day14,hospitality,"환대, 친절",,,
day14,indulge,"빠지다, 탐닉하다",,,
day14,proximity,"가까움, 근접함",,,
day14,seating,(집합적)좌석 설비; 좌석 배열,,,
day14,unlimited,무제한의,,,
day15,proposal,"제안, 계획",,,
day15,alliance,"동맹, 제휴",,,
day15,stipulation,계약 조건,,,
day15,term,"조건; 임기, 기한",,,
day15,compromise,"타협, 화해",,,
day15,negotiation,"협상, 교섭",,,
day15,agreement,"계약, 협정; 합의",,,
day15,deadlock,교착 상태,,,
day15,review,"검토하다, 재조사하다",,,
day15,contract,"계약(서),계약하다, 수축하다",,,
day15,signature,서명,,,
day15,originally,"원래, 처음에는",,,
day15,direction,"방향, 지시, 감독",,,
day15,initially,"처음에, 초기에",,,
day15,expire,(계약등이)만료되다,,,
day15,collaborate,"협력하다, 공동으로 일하다",,,
day15,dedicate,"전념하다, 헌신하다, 바치다(indicate 나타내다)",,,
day15,revised,"수정된, 변경된",,,
day15,imperative,"반드시 해야 하는, 필수적인",,,
day15,cooperatively,"협력하여, 협조적으로",,,
day15,commission,"수수료, 커미션; 위원회
(일 등을)의뢰하다, 주문하다",,,
day15,omit,"빠뜨리다, 생략하다",,,
day15,conflict,"대립, 충돌, 갈등",,,
day15,renew,(계약 등을)갱신하다,,,
day15,proficient,"능숙한, 능한",,,
day15,confidentiality,"기밀, 비밀",,,
day15,dispute,"분쟁, 논쟁",,,
day15,objection,"반대, 이익",,,
day15,define,"규정하다, 정의하다",,,
day15,impression,인상,,,
day15,security,"보안, 안전, 보호",,,
day15,option,선택권,,,
day15,proceed,"(일을)진행하다, 진척되다",,,
day15,modify,"수정하다, 일부 변경하다",,,
day15,narrow,(범위 등을)좁히다,,,
day15,bid,입찰,,,
day15,settle,"해결하다, 처리하다",,,
day15,terminate,"끝내다, 종결시키다",,,
day15,challenging,"도전적인, 힘든",,,
day15,foundation,"토대, 기초",,,
day16,completely,"전적으로, 완전히",,,
day16,refuse,거절하다,,,
day16,temporarily,"일시적으로
(temporary 일시적인, 잠정적인, 임시고용인)",,,
day16,dealer,"판매업자, 상인",,,
day16,bulk,대량의,,,
day16,inventory,"재고품, 재고목록",,,
day16,short,부족한,,,
day16,cost,비용,,,
day16,selection,"선택된 것, 정선품",,,
day16,commercial,"상업의, 상업적인, 광고",,,
day16,order,"주문하다, 주문, 주문품",,,
day16,provide,"공급하다, 제공하다",,,
day16,contact,"~와 연락하다,
(상업적 목적으로)교섭하고 있는 사람",,,
day16,invoice,송장,,,
day16,move,"옮기다, 움직이다, 조치, 수단;
이동, 이사",,,
day16,supply,"공급하다, 공급; (-s)비품, 소모품",,,
day16,discount,할인,,,
